id,labels
0,"3,10,64"
1,"3,34,53"
2,"3,169,296"
3,"0,216,255"
4,"10,40,64"
5,"0,8,208"
6,"10,40,145"
7,"3,21,40"
8,"10,23,24"
9,"3,169,337"
10,"0,10,11"
11,"3,10,21"
12,"169,170,199"
13,"0,23,26"
14,"23,24,38"
15,"23,38,64"
16,"10,40,64"
17,"3,21,111"
18,"10,64,169"
19,"10,23,220"
20,"40,145,169"
21,"0,23,26"
22,"3,5,21"
23,"40,41,160"
24,"0,3,271"
25,"3,15,40"
26,"3,21,40"
27,"10,64,169"
28,"3,17,53"
29,"3,13,53"
30,"10,23,24"
31,"3,21,30"
32,"40,131,184"
33,"0,23,26"
34,"10,23,31"
35,"3,169,337"
36,"3,4,13"
37,"10,23,24"
38,"3,4,15"
39,"3,40,139"
40,"0,271,313"
41,"3,5,21"
42,"40,41,135"
43,"0,218,271"
44,"10,40,145"
45,"3,40,162"
46,"3,21,40"
47,"3,10,21"
48,"40,128,160"
49,"3,10,21"
50,"0,23,38"
51,"3,21,111"
52,"10,40,64"
53,"3,17,53"
54,"3,4,21"
55,"3,21,40"
56,"10,23,64"
57,"3,23,31"
58,"3,23,74"
59,"3,13,53"
60,"3,10,13"
61,"10,40,64"
62,"0,255,271"
63,"3,21,53"
64,"0,208,255"
65,"3,5,13"
66,"40,131,184"
67,"169,170,199"
68,"3,17,53"
69,"0,3,21"
70,"3,10,64"
71,"10,40,64"
72,"3,40,41"
73,"3,40,41"
74,"10,23,105"
75,"0,64,265"
76,"3,21,34"
77,"0,23,26"
78,"10,23,24"
79,"10,23,105"
80,"10,40,64"
81,"3,21,34"
82,"10,40,145"
83,"3,169,296"
84,"23,31,169"
85,"23,38,40"
86,"40,131,184"
87,"3,21,40"
88,"0,23,26"
89,"3,21,169"
90,"10,40,145"
91,"10,23,105"
92,"0,218,271"
93,"3,4,17"
94,"10,23,31"
95,"23,40,145"
96,"10,23,60"
97,"3,40,162"
98,"10,40,145"
99,"0,23,38"
100,"0,23,26"
101,"23,40,105"
102,"10,23,31"
103,"3,120,147"
104,"10,23,64"
105,"0,218,265"
106,"3,10,21"
107,"3,10,60"
108,"0,216,255"
109,"0,8,208"
110,"3,5,21"
111,"169,170,199"
112,"3,4,21"
113,"3,21,34"
114,"10,23,64"
115,"169,170,199"
116,"0,3,21"
117,"0,8,208"
118,"10,23,40"
119,"3,21,34"
120,"3,21,147"
121,"0,3,265"
122,"10,23,24"
123,"3,21,40"
124,"3,4,21"
125,"3,21,169"
126,"0,3,265"
127,"23,38,64"
128,"0,265,271"
129,"0,64,265"
130,"10,54,64"
131,"169,170,199"
132,"10,23,38"
133,"3,21,40"
134,"3,4,53"
135,"10,40,145"
136,"0,216,271"
137,"10,40,145"
138,"0,208,265"
139,"3,23,31"
140,"3,40,135"
141,"3,17,111"
142,"169,170,199"
143,"3,4,13"
144,"10,40,145"
145,"10,40,44"
146,"3,4,15"
147,"169,199,337"
148,"10,40,64"
149,"40,41,160"
150,"3,23,40"
151,"23,169,337"
152,"3,4,21"
153,"0,265,271"
154,"3,169,199"
155,"0,23,26"
156,"40,131,184"
157,"10,40,64"
158,"3,40,41"
159,"0,169,199"
160,"0,23,38"
161,"23,38,64"
162,"3,34,40"
163,"3,21,111"
164,"0,265,271"
165,"0,40,128"
166,"10,40,64"
167,"3,10,64"
168,"10,40,145"
169,"40,128,160"
170,"23,40,131"
171,"0,3,21"
172,"0,23,271"
173,"3,4,21"
174,"3,21,34"
175,"0,218,271"
176,"10,40,64"
177,"0,23,38"
178,"3,21,30"
179,"0,23,26"
180,"3,21,53"
181,"3,21,23"
182,"0,64,265"
183,"3,21,199"
184,"0,265,271"
185,"10,23,24"
186,"0,255,271"
187,"40,135,160"
188,"10,40,64"
189,"169,170,199"
190,"3,169,199"
191,"169,170,199"
192,"0,169,337"
193,"10,23,38"
194,"169,170,199"
195,"40,135,169"
196,"10,40,145"
197,"3,40,160"
198,"40,131,184"
199,"0,23,265"
200,"3,10,23"
201,"23,24,40"
202,"3,23,31"
203,"3,4,111"
204,"3,111,169"
205,"169,170,199"
206,"23,24,40"
207,"0,23,38"
208,"10,23,64"
209,"10,40,64"
210,"0,3,265"
211,"0,8,208"
212,"0,10,265"
213,"3,53,111"
214,"0,23,265"
215,"23,40,145"
216,"23,31,169"
217,"23,24,38"
218,"3,21,169"
219,"40,41,160"
220,"23,38,64"
221,"0,271,288"
222,"3,4,15"
223,"169,170,199"
224,"40,41,160"
225,"3,13,21"
226,"3,10,64"
227,"10,40,145"
228,"3,5,21"
229,"3,21,34"
230,"10,40,54"
231,"0,3,265"
232,"10,40,145"
233,"0,3,21"
234,"3,40,145"
235,"40,131,184"
236,"3,23,53"
237,"169,170,199"
238,"10,40,145"
239,"10,23,24"
240,"0,265,271"
241,"0,265,271"
242,"40,131,184"
243,"40,131,184"
244,"0,255,271"
245,"0,40,128"
246,"3,10,60"
247,"10,169,296"
248,"3,17,34"
249,"0,40,128"
250,"10,40,145"
251,"10,23,105"
252,"3,30,147"
253,"0,3,21"
254,"3,23,38"
255,"23,26,38"
256,"3,21,40"
257,"3,13,21"
258,"0,40,128"
259,"10,40,64"
260,"10,64,169"
261,"3,4,53"
262,"10,64,169"
263,"3,30,120"
264,"3,21,40"
265,"3,169,337"
266,"10,23,24"
267,"23,38,40"
268,"3,10,64"
269,"40,145,160"
270,"3,21,40"
271,"40,131,184"
272,"23,24,31"
273,"10,38,64"
274,"10,40,145"
275,"10,40,64"
276,"23,31,296"
277,"3,169,337"
278,"23,74,296"
279,"40,131,184"
280,"23,38,74"
281,"10,64,220"
282,"0,8,265"
283,"3,21,169"
284,"3,13,53"
285,"3,4,5"
286,"10,40,64"
287,"0,218,271"
288,"10,40,64"
289,"23,26,38"
290,"0,265,271"
291,"23,40,145"
292,"10,40,145"
293,"0,23,24"
294,"3,21,53"
295,"3,40,160"
296,"40,41,160"
297,"3,40,135"
298,"3,169,199"
299,"3,17,21"
300,"3,17,53"
301,"3,21,169"
302,"23,38,40"
303,"3,21,111"
304,"169,170,199"
305,"0,271,288"
306,"10,38,64"
307,"0,23,26"
308,"10,40,64"
309,"3,40,160"
310,"0,271,288"
311,"3,21,169"
312,"3,21,199"
313,"10,23,24"
314,"3,17,21"
315,"0,265,271"
316,"23,38,40"
317,"3,5,21"
318,"10,40,169"
319,"10,169,426"
320,"0,211,216"
321,"3,15,40"
322,"3,40,111"
323,"3,13,111"
324,"40,41,160"
325,"23,40,131"
326,"3,5,13"
327,"40,135,169"
328,"23,24,40"
329,"40,128,169"
330,"23,24,40"
331,"3,40,128"
332,"0,211,216"
333,"3,21,111"
334,"0,208,271"
335,"3,21,40"
336,"10,23,24"
337,"3,21,34"
338,"3,21,169"
339,"3,120,147"
340,"10,105,220"
341,"3,120,147"
342,"0,40,128"
343,"3,5,21"
344,"3,40,162"
345,"10,40,145"
346,"3,169,296"
347,"10,23,105"
348,"3,4,30"
349,"3,169,296"
350,"10,40,145"
351,"23,40,74"
352,"3,169,296"
353,"0,23,38"
354,"3,5,21"
355,"10,40,145"
356,"23,26,38"
357,"23,31,169"
358,"0,265,271"
359,"10,40,64"
360,"23,169,296"
361,"10,40,64"
362,"3,169,337"
363,"3,21,34"
364,"23,31,169"
365,"0,265,271"
366,"0,10,23"
367,"0,216,265"
368,"23,38,64"
369,"40,135,169"
370,"3,4,15"
371,"10,23,64"
372,"23,74,296"
373,"40,131,184"
374,"0,8,208"
375,"10,40,145"
376,"169,170,199"
377,"3,21,30"
378,"40,41,160"
379,"23,31,40"
380,"3,40,128"
381,"3,21,169"
382,"3,21,169"
383,"169,170,199"
384,"3,17,53"
385,"10,23,105"
386,"10,40,64"
387,"23,38,40"
388,"0,211,216"
389,"3,5,21"
390,"10,23,40"
391,"10,23,64"
392,"0,216,271"
393,"10,40,64"
394,"0,10,265"
395,"3,21,111"
396,"10,38,64"
397,"3,21,169"
398,"0,169,277"
399,"169,170,199"
400,"10,38,64"
401,"3,21,34"
402,"3,21,147"
403,"0,255,271"
404,"3,53,111"
405,"0,8,271"
406,"3,169,199"
407,"40,131,145"
408,"3,21,34"
409,"3,21,169"
410,"3,21,169"
411,"3,15,53"
412,"10,23,24"
413,"169,170,199"
414,"0,8,208"
415,"40,131,184"
416,"23,38,296"
417,"10,23,105"
418,"23,31,40"
419,"23,38,74"
420,"169,170,296"
421,"10,23,220"
422,"0,216,271"
423,"3,23,74"
424,"0,23,26"
425,"0,265,271"
426,"3,169,296"
427,"10,23,24"
428,"10,40,145"
429,"3,21,23"
430,"0,40,128"
431,"0,23,26"
432,"10,40,145"
433,"10,40,64"
434,"3,10,21"
435,"3,21,111"
436,"0,216,255"
437,"10,23,105"
438,"3,40,162"
439,"0,169,296"
440,"3,169,296"
441,"0,10,265"
442,"3,21,34"
443,"169,170,199"
444,"0,271,313"
445,"3,21,169"
446,"0,10,265"
447,"0,216,265"
448,"3,10,64"
449,"3,40,128"
450,"0,23,26"
451,"0,271,288"
452,"3,169,296"
453,"40,41,160"
454,"3,10,17"
455,"169,170,199"
456,"23,40,131"
457,"10,40,64"
458,"3,21,147"
459,"3,34,131"
460,"0,265,271"
461,"3,21,169"
462,"10,23,64"
463,"3,40,184"
464,"0,40,265"
465,"0,265,271"
466,"0,23,26"
467,"0,40,145"
468,"10,40,145"
469,"3,21,34"
470,"40,131,169"
471,"0,23,271"
472,"3,10,64"
473,"0,216,255"
474,"0,23,26"
475,"0,265,271"
476,"0,23,38"
477,"3,169,199"
478,"3,40,135"
479,"169,170,199"
480,"23,38,74"
481,"10,40,64"
482,"40,131,160"
483,"0,23,271"
484,"3,21,34"
485,"0,8,265"
486,"0,10,64"
487,"0,216,255"
488,"23,38,74"
489,"40,41,160"
490,"10,40,64"
491,"3,10,40"
492,"10,64,169"
493,"0,218,265"
494,"3,21,40"
495,"0,271,288"
496,"40,135,169"
497,"10,40,64"
498,"0,8,23"
499,"23,40,145"
500,"3,21,169"
501,"3,35,40"
502,"10,23,31"
503,"10,40,64"
504,"3,17,53"
505,"40,131,184"
506,"3,10,64"
507,"40,135,169"
508,"0,3,265"
509,"3,21,53"
510,"10,64,169"
511,"40,41,128"
512,"0,213,271"
513,"40,145,169"
514,"3,4,111"
515,"40,128,184"
516,"3,17,34"
517,"10,40,145"
518,"3,21,34"
519,"3,15,53"
520,"0,10,11"
521,"0,211,216"
522,"10,40,145"
523,"40,131,184"
524,"23,31,169"
525,"10,23,64"
526,"23,38,74"
527,"40,131,184"
528,"3,169,296"
529,"23,38,40"
530,"10,60,169"
531,"10,23,220"
532,"23,26,38"
533,"0,216,255"
534,"169,170,199"
535,"0,23,38"
536,"3,21,147"
537,"0,8,208"
538,"3,10,54"
