id,labels
0,"64,80,448"
1,"3,17,21"
2,"21,111,296"
3,"0,216,255"
4,"10,44,64"
5,"8,206,265"
6,"64,145,265"
7,"3,21,199"
8,"24,49,265"
9,"21,170,199"
10,"11,265,376"
11,"31,54,145"
12,"170,199,311"
13,"26,271,456"
14,"24,38,240"
15,"38,240,264"
16,"64,145,448"
17,"3,21,111"
18,"64,80,448"
19,"10,220,221"
20,"145,170,199"
21,"8,26,271"
22,"3,4,5"
23,"40,160,315"
24,"8,145,265"
25,"40,131,160"
26,"3,21,170"
27,"64,93,448"
28,"3,17,18"
29,"13,60,111"
30,"24,145,181"
31,"3,21,111"
32,"40,131,226"
33,"8,26,38"
34,"10,220,221"
35,"21,170,199"
36,"3,5,21"
37,"10,11,44"
38,"3,4,238"
39,"21,40,139"
40,"0,218,271"
41,"3,5,21"
42,"135,170,199"
43,"0,265,271"
44,"10,11,44"
45,"34,40,131"
46,"3,21,145"
47,"11,51,60"
48,"40,128,160"
49,"31,60,145"
50,"38,240,265"
51,"3,21,311"
52,"10,44,145"
53,"53,60,111"
54,"3,21,85"
55,"3,21,187"
56,"64,80,448"
57,"21,31,111"
58,"38,74,296"
59,"3,21,111"
60,"13,60,111"
61,"64,145,448"
62,"265,271,456"
63,"3,21,53"
64,"128,208,265"
65,"3,21,128"
66,"40,131,226"
67,"170,199,323"
68,"3,17,18"
69,"21,187,265"
70,"64,80,448"
71,"64,145,448"
72,"21,41,160"
73,"3,21,41"
74,"105,220,221"
75,"265,271,349"
76,"21,34,187"
77,"0,26,271"
78,"24,265,296"
79,"10,220,221"
80,"64,80,448"
81,"3,21,34"
82,"10,11,44"
83,"31,296,420"
84,"24,31,170"
85,"38,74,131"
86,"40,131,226"
87,"3,21,41"
88,"8,26,38"
89,"3,21,187"
90,"54,64,145"
91,"10,220,221"
92,"0,216,271"
93,"4,19,238"
94,"31,54,60"
95,"40,131,145"
96,"24,60,170"
97,"21,40,131"
98,"10,145,220"
99,"8,26,38"
100,"8,26,231"
101,"38,105,220"
102,"24,64,145"
103,"3,21,147"
104,"10,38,145"
105,"8,265,271"
106,"21,60,111"
107,"60,170,199"
108,"216,255,271"
109,"8,206,208"
110,"3,5,21"
111,"170,199,426"
112,"3,4,21"
113,"3,21,34"
114,"10,220,221"
115,"169,170,199"
116,"21,265,271"
117,"8,265,271"
118,"40,131,145"
119,"3,21,187"
120,"3,21,147"
121,"21,265,340"
122,"10,11,44"
123,"3,21,41"
124,"3,5,21"
125,"3,21,311"
126,"0,8,265"
127,"24,38,145"
128,"265,271,456"
129,"265,349,376"
130,"54,64,145"
131,"169,170,199"
132,"24,38,64"
133,"21,40,41"
134,"3,4,111"
135,"54,64,145"
136,"0,216,271"
137,"54,145,402"
138,"265,271,349"
139,"31,170,199"
140,"21,40,128"
141,"3,21,111"
142,"169,170,199"
143,"3,21,145"
144,"11,44,64"
145,"10,11,44"
146,"3,4,19"
147,"170,199,426"
148,"64,145,448"
149,"40,160,315"
150,"31,131,296"
151,"26,38,265"
152,"4,19,238"
153,"265,271,425"
154,"170,187,199"
155,"8,26,271"
156,"40,131,241"
157,"44,64,145"
158,"21,40,41"
159,"170,199,426"
160,"8,26,38"
161,"38,240,265"
162,"40,131,241"
163,"3,21,108"
164,"0,265,271"
165,"128,216,271"
166,"64,80,448"
167,"64,93,448"
168,"38,44,64"
169,"40,160,315"
170,"31,131,145"
171,"3,21,311"
172,"0,218,271"
173,"3,4,238"
174,"21,170,199"
175,"8,26,38"
176,"64,145,448"
177,"38,240,265"
178,"3,5,21"
179,"8,26,218"
180,"3,21,311"
181,"3,21,111"
182,"265,349,376"
183,"21,170,199"
184,"0,265,271"
185,"24,64,80"
186,"255,271,456"
187,"40,135,199"
188,"64,80,448"
189,"170,199,426"
190,"60,170,199"
191,"170,199,426"
192,"170,296,426"
193,"8,38,240"
194,"170,199,337"
195,"169,170,199"
196,"54,64,145"
197,"21,41,160"
198,"40,131,226"
199,"8,26,271"
200,"24,43,145"
201,"145,170,199"
202,"21,53,111"
203,"4,19,238"
204,"60,170,199"
205,"169,170,199"
206,"24,43,145"
207,"8,26,38"
208,"10,64,145"
209,"64,145,448"
210,"265,271,340"
211,"8,206,208"
212,"265,271,349"
213,"21,53,111"
214,"265,340,376"
215,"145,170,199"
216,"31,32,296"
217,"24,38,64"
218,"3,21,187"
219,"40,160,315"
220,"26,38,240"
221,"0,271,456"
222,"3,4,238"
223,"169,170,199"
224,"40,160,315"
225,"3,13,21"
226,"11,64,448"
227,"10,11,64"
228,"4,5,228"
229,"3,17,21"
230,"54,145,402"
231,"21,265,340"
232,"54,145,402"
233,"21,128,265"
234,"40,131,145"
235,"40,131,226"
236,"3,53,111"
237,"170,199,426"
238,"10,54,145"
239,"24,43,145"
240,"0,271,456"
241,"265,271,456"
242,"40,131,184"
243,"40,131,226"
244,"255,271,456"
245,"8,128,208"
246,"51,60,199"
247,"131,170,199"
248,"3,17,21"
249,"40,128,129"
250,"10,11,44"
251,"10,220,221"
252,"3,21,147"
253,"3,21,265"
254,"38,105,145"
255,"8,26,38"
256,"3,21,41"
257,"3,21,40"
258,"40,128,296"
259,"64,80,145"
260,"64,80,448"
261,"3,4,19"
262,"64,80,448"
263,"3,21,147"
264,"21,128,199"
265,"21,170,199"
266,"21,38,199"
267,"38,131,145"
268,"64,93,448"
269,"40,131,160"
270,"3,21,41"
271,"40,131,226"
272,"24,31,296"
273,"38,64,145"
274,"10,44,145"
275,"64,145,448"
276,"31,32,296"
277,"21,170,199"
278,"74,118,296"
279,"40,131,241"
280,"38,240,296"
281,"10,220,221"
282,"0,265,271"
283,"3,21,170"
284,"3,13,21"
285,"3,4,238"
286,"64,145,448"
287,"0,271,456"
288,"64,80,448"
289,"8,26,38"
290,"0,271,456"
291,"145,181,199"
292,"10,44,64"
293,"170,265,426"
294,"21,53,128"
295,"40,160,315"
296,"41,160,315"
297,"135,170,199"
298,"21,170,187"
299,"3,17,21"
300,"3,15,53"
301,"21,170,187"
302,"38,74,118"
303,"3,21,111"
304,"170,199,426"
305,"255,271,456"
306,"24,38,64"
307,"8,26,38"
308,"64,145,448"
309,"40,160,184"
310,"0,255,271"
311,"3,21,187"
312,"21,170,199"
313,"24,64,80"
314,"3,17,18"
315,"265,271,456"
316,"38,74,131"
317,"3,5,21"
318,"24,60,199"
319,"24,170,199"
320,"0,216,255"
321,"40,131,160"
322,"41,111,160"
323,"31,111,296"
324,"40,160,315"
325,"54,131,145"
326,"3,5,21"
327,"135,170,199"
328,"24,145,181"
329,"170,199,426"
330,"24,43,145"
331,"40,128,129"
332,"216,255,271"
333,"3,21,111"
334,"0,255,271"
335,"21,128,145"
336,"24,64,145"
337,"21,34,187"
338,"3,21,311"
339,"3,21,147"
340,"10,220,221"
341,"3,21,147"
342,"40,128,129"
343,"3,4,5"
344,"21,40,131"
345,"10,145,402"
346,"169,296,420"
347,"105,220,221"
348,"4,53,111"
349,"31,296,420"
350,"10,11,44"
351,"38,74,184"
352,"296,411,420"
353,"8,38,218"
354,"3,21,108"
355,"10,145,402"
356,"26,38,240"
357,"31,145,296"
358,"0,265,271"
359,"64,145,448"
360,"31,131,296"
361,"10,64,145"
362,"3,21,311"
363,"21,170,199"
364,"31,170,296"
365,"265,271,456"
366,"38,265,402"
367,"0,216,271"
368,"38,137,240"
369,"135,170,199"
370,"3,4,238"
371,"24,64,145"
372,"38,74,118"
373,"40,131,226"
374,"8,206,208"
375,"10,54,145"
376,"170,199,426"
377,"3,21,111"
378,"21,41,160"
379,"31,96,131"
380,"21,111,160"
381,"21,170,311"
382,"21,170,199"
383,"169,170,199"
384,"3,17,18"
385,"105,220,221"
386,"10,220,221"
387,"38,74,184"
388,"216,255,271"
389,"3,5,21"
390,"10,220,221"
391,"10,24,38"
392,"216,255,271"
393,"64,80,448"
394,"11,265,376"
395,"3,21,111"
396,"21,38,64"
397,"3,21,311"
398,"170,311,337"
399,"169,170,199"
400,"38,64,145"
401,"21,34,187"
402,"3,21,311"
403,"255,265,271"
404,"3,21,111"
405,"0,8,271"
406,"21,170,199"
407,"40,131,241"
408,"3,21,187"
409,"3,21,187"
410,"3,21,170"
411,"3,15,53"
412,"24,43,60"
413,"169,170,199"
414,"8,206,208"
415,"40,131,226"
416,"26,38,240"
417,"10,220,221"
418,"31,131,145"
419,"38,74,118"
420,"170,199,296"
421,"10,220,221"
422,"0,8,265"
423,"38,74,118"
424,"8,26,271"
425,"255,265,271"
426,"8,265,296"
427,"24,145,181"
428,"54,145,402"
429,"135,170,199"
430,"40,128,129"
431,"8,26,38"
432,"10,11,44"
433,"64,145,448"
434,"31,60,111"
435,"3,21,41"
436,"0,216,271"
437,"105,220,221"
438,"21,34,40"
439,"170,199,311"
440,"31,111,296"
441,"11,265,376"
442,"3,17,34"
443,"169,170,199"
444,"0,265,271"
445,"3,4,21"
446,"265,271,349"
447,"0,216,265"
448,"64,80,448"
449,"40,128,129"
450,"8,26,271"
451,"216,255,271"
452,"31,296,420"
453,"40,160,315"
454,"53,60,111"
455,"135,170,199"
456,"131,145,241"
457,"64,145,448"
458,"3,21,147"
459,"21,40,131"
460,"0,271,456"
461,"21,170,199"
462,"38,64,80"
463,"40,160,184"
464,"265,271,349"
465,"0,265,271"
466,"8,26,271"
467,"54,145,402"
468,"10,11,44"
469,"3,21,187"
470,"131,170,199"
471,"0,26,271"
472,"64,93,448"
473,"216,255,271"
474,"8,26,350"
475,"265,271,425"
476,"218,265,271"
477,"135,170,199"
478,"21,135,139"
479,"170,199,323"
480,"38,74,118"
481,"64,80,145"
482,"40,131,226"
483,"8,218,265"
484,"3,21,187"
485,"8,206,265"
486,"64,80,448"
487,"0,216,271"
488,"38,74,118"
489,"40,160,315"
490,"64,80,448"
491,"60,74,145"
492,"60,64,199"
493,"265,271,425"
494,"3,21,41"
495,"255,271,456"
496,"74,128,135"
497,"54,64,145"
498,"0,8,206"
499,"38,145,402"
500,"21,170,311"
501,"41,160,315"
502,"31,145,296"
503,"64,145,448"
504,"3,17,18"
505,"40,131,241"
506,"64,80,448"
507,"135,170,199"
508,"3,21,311"
509,"3,21,187"
510,"60,64,145"
511,"40,160,315"
512,"265,271,456"
513,"170,181,199"
514,"3,4,21"
515,"40,160,315"
516,"3,21,34"
517,"24,145,181"
518,"21,170,187"
519,"3,17,53"
520,"11,265,376"
521,"216,255,271"
522,"54,145,402"
523,"40,131,226"
524,"31,32,296"
525,"38,64,145"
526,"38,74,296"
527,"40,131,226"
528,"31,265,296"
529,"38,145,265"
530,"60,170,199"
531,"10,220,221"
532,"26,38,240"
533,"0,216,271"
534,"170,199,426"
535,"26,38,240"
536,"3,21,147"
537,"8,206,208"
538,"31,54,145"
539,"3,21,111"
540,"0,8,265"
541,"8,38,240"
542,"8,38,105"
543,"3,4,238"
544,"21,41,160"
545,"40,131,184"
546,"64,93,448"
547,"74,135,296"
548,"3,17,34"
549,"60,170,199"
550,"40,41,135"
551,"8,206,208"
552,"21,128,265"
553,"10,220,221"
554,"10,11,44"
555,"145,170,199"
556,"170,181,199"
557,"26,38,240"
558,"64,93,448"
559,"31,131,145"
560,"10,220,221"
561,"265,271,349"
562,"10,220,221"
563,"54,145,265"
564,"3,21,311"
565,"145,181,199"
566,"0,271,313"
567,"0,216,271"
568,"74,118,296"
569,"11,44,64"
570,"60,170,199"
571,"40,160,184"
572,"3,21,145"
573,"64,80,448"
574,"11,64,80"
575,"21,128,139"
576,"64,80,448"
577,"64,80,145"
578,"3,21,311"
579,"10,11,44"
580,"38,64,145"
581,"3,21,41"
582,"0,255,271"
583,"3,5,21"
584,"21,170,199"
585,"0,8,313"
586,"10,220,221"
587,"41,160,315"
588,"31,40,128"
589,"3,21,145"
590,"26,38,240"
591,"64,145,448"
592,"131,170,199"
593,"64,80,145"
594,"105,220,221"
595,"135,170,199"
596,"8,38,265"
597,"0,8,206"
598,"3,21,53"
599,"38,64,240"
600,"60,170,199"
601,"38,54,145"
602,"3,4,5"
603,"265,349,376"
604,"3,4,238"
605,"8,26,265"
606,"40,160,315"
607,"21,41,160"
608,"0,265,271"
609,"24,38,296"
610,"145,170,199"
611,"8,38,240"
612,"265,349,376"
613,"3,5,21"
614,"24,31,60"
615,"255,265,271"
616,"10,54,145"
617,"31,111,296"
618,"31,145,265"
619,"135,170,199"
620,"26,271,313"
621,"0,8,26"
622,"21,128,145"
623,"40,41,160"
624,"13,40,128"
625,"0,271,313"
626,"170,199,426"
627,"31,40,131"
628,"54,145,402"
629,"4,19,238"
630,"31,54,145"
631,"8,206,208"
632,"131,199,241"
633,"135,170,199"
634,"216,255,271"
635,"8,26,38"
636,"40,135,199"
637,"21,34,187"
638,"40,160,315"
639,"0,271,456"
640,"23,38,74"
641,"8,206,208"
642,"40,135,160"
643,"21,40,131"
644,"3,21,41"
645,"8,26,38"
646,"3,21,147"
647,"8,265,296"
648,"3,4,238"
649,"169,170,199"
650,"38,54,145"
651,"26,38,240"
652,"199,220,221"
653,"135,160,199"
654,"31,32,296"
655,"21,40,131"
656,"3,4,238"
657,"0,8,206"
658,"3,4,5"
659,"13,21,128"
660,"40,131,226"
661,"0,216,265"
662,"255,265,271"
663,"145,170,199"
664,"10,11,44"
665,"145,170,199"
666,"64,80,448"
667,"31,131,145"
668,"0,26,271"
669,"26,38,240"
670,"24,38,265"
671,"38,44,145"
672,"31,145,220"
673,"170,199,337"
674,"40,131,241"
675,"21,147,160"
676,"64,145,448"
677,"3,17,21"
678,"3,21,111"
679,"10,220,221"
680,"0,8,206"
681,"40,131,226"
682,"64,80,448"
683,"38,74,118"
684,"38,74,184"
685,"3,21,34"
686,"31,54,145"
687,"169,170,199"
688,"24,38,54"
689,"10,220,221"
690,"3,21,311"
691,"31,199,296"
692,"21,53,111"
693,"64,145,448"
694,"8,206,208"
695,"38,240,265"
696,"24,38,64"
697,"3,17,53"
698,"3,17,53"
699,"40,131,226"
700,"3,17,18"
701,"38,145,265"
702,"24,38,74"
703,"24,38,264"
704,"31,38,296"
705,"41,135,199"
706,"40,128,145"
707,"41,160,315"
708,"0,8,265"
709,"24,31,60"
710,"3,17,21"
711,"40,160,184"
712,"3,17,53"
713,"216,255,271"
714,"21,38,199"
715,"24,31,49"
716,"41,160,315"
717,"3,4,238"
718,"3,21,170"
719,"10,24,60"
720,"3,53,147"
721,"10,11,44"
722,"3,21,187"
723,"3,21,85"
724,"3,5,21"
725,"24,145,181"
726,"21,170,187"
727,"8,265,271"
728,"170,199,323"
729,"21,41,160"
730,"170,199,296"
731,"170,199,426"
732,"3,21,199"
733,"44,64,80"
734,"170,187,199"
735,"170,199,426"
736,"54,64,145"
737,"170,199,426"
738,"10,11,44"
739,"0,8,26"
740,"8,26,271"
741,"0,271,456"
742,"3,4,5"
743,"145,265,402"
744,"54,145,402"
745,"3,4,238"
746,"53,60,111"
747,"31,96,296"
748,"21,53,111"
749,"64,80,145"
750,"3,21,41"
751,"24,145,199"
752,"3,21,111"
753,"169,170,199"
754,"169,170,199"
755,"145,170,199"
756,"10,64,145"
757,"34,40,131"
758,"3,17,53"
759,"170,199,426"
760,"170,199,426"
761,"31,60,265"
762,"64,170,199"
763,"3,21,311"
764,"3,21,111"
765,"0,8,265"
766,"265,271,349"
767,"169,170,199"
768,"265,271,425"
769,"24,60,199"
770,"21,111,296"
771,"64,145,448"
772,"3,17,53"
773,"3,21,170"
774,"169,170,199"
775,"21,170,199"
776,"3,21,187"
777,"21,40,111"
778,"3,4,53"
779,"64,145,448"
780,"64,93,448"
781,"170,199,323"
782,"265,271,456"
783,"13,21,111"
784,"21,170,199"
785,"38,40,74"
786,"170,199,426"
787,"24,38,199"
788,"0,8,206"
789,"8,26,218"
790,"3,21,187"
791,"105,220,221"
792,"10,44,64"
793,"26,38,240"
794,"170,199,426"
795,"40,131,226"
796,"3,5,21"
797,"3,21,199"
798,"40,131,184"
799,"21,41,160"
800,"40,135,160"
801,"8,128,208"
802,"26,218,271"
803,"3,21,41"
804,"21,53,111"
805,"170,199,426"
806,"8,26,38"
807,"38,64,80"
808,"21,170,311"
809,"21,170,199"
810,"8,54,265"
811,"24,145,181"
812,"10,64,80"
813,"0,265,271"
814,"3,21,41"
815,"40,74,128"
816,"21,311,337"
817,"208,265,349"
818,"3,17,18"
819,"21,187,311"
820,"216,255,271"
821,"31,145,296"
822,"64,170,199"
823,"145,170,199"
824,"3,21,111"
825,"38,64,145"
826,"0,8,265"
827,"10,11,44"
828,"169,170,296"
829,"54,131,145"
830,"64,80,448"
831,"216,255,271"
832,"10,44,64"
833,"131,199,241"
834,"3,21,111"
835,"40,74,160"
836,"10,11,24"
837,"40,160,184"
838,"3,4,238"
839,"3,5,21"
840,"54,145,402"
841,"3,21,41"
842,"3,5,21"
843,"8,26,38"
844,"31,145,296"
845,"38,131,296"
846,"169,170,199"
847,"40,128,129"
848,"0,26,271"
849,"31,96,296"
850,"169,170,199"
851,"38,64,145"
852,"31,32,111"
853,"24,38,64"
854,"21,170,199"
855,"40,41,160"
856,"24,60,170"
857,"64,80,448"
858,"3,4,238"
859,"135,170,199"
860,"8,26,38"
861,"170,181,199"
862,"40,131,184"
863,"216,255,271"
864,"13,21,111"
865,"40,160,315"
866,"3,21,170"
867,"169,170,199"
868,"21,128,145"
869,"145,170,199"
870,"21,128,265"
871,"21,38,111"
872,"3,21,311"
873,"169,170,199"
874,"0,255,271"
875,"38,64,145"
876,"3,21,145"
877,"40,131,226"
878,"169,170,199"
879,"8,26,38"
880,"3,4,21"
881,"8,206,208"
882,"54,145,402"
883,"40,160,315"
884,"64,80,145"
885,"3,21,41"
886,"170,199,296"
887,"24,60,199"
888,"21,170,199"
889,"169,170,199"
890,"64,80,145"
891,"3,53,111"
892,"24,38,145"
893,"10,11,64"
894,"8,38,240"
895,"21,265,340"
896,"40,131,226"
897,"3,21,311"
898,"3,21,41"
899,"170,199,426"
900,"0,216,271"
901,"3,21,41"
902,"64,80,145"
903,"40,131,226"
904,"64,80,448"
905,"8,26,38"
906,"0,8,265"
907,"0,8,265"
908,"13,31,60"
909,"40,74,131"
910,"10,220,221"
911,"10,11,44"
912,"31,54,145"
913,"64,80,145"
914,"64,145,448"
915,"105,220,221"
916,"3,4,238"
917,"265,271,456"
918,"3,4,21"
919,"8,199,265"
920,"3,21,147"
921,"13,60,111"
922,"13,53,111"
923,"64,80,448"
924,"40,145,160"
925,"24,38,64"
926,"13,60,111"
927,"40,128,129"
928,"3,21,187"
929,"3,21,111"
930,"0,26,271"
931,"0,208,265"
932,"38,240,265"
933,"38,74,131"
934,"145,170,199"
935,"31,170,296"
936,"21,34,187"
937,"3,21,147"
938,"3,21,111"
939,"31,296,420"
940,"4,19,238"
941,"8,26,38"
942,"3,15,53"
943,"135,170,199"
944,"3,4,238"
945,"169,170,199"
946,"0,8,265"
947,"3,21,41"
948,"74,118,296"
949,"40,131,241"
950,"0,271,456"
951,"60,170,199"
952,"169,170,199"
953,"31,54,131"
954,"24,64,265"
955,"10,11,220"
956,"54,145,402"
957,"60,170,199"
958,"21,60,111"
959,"145,170,199"
960,"169,170,199"
961,"21,34,187"
962,"64,80,265"
963,"21,40,135"
964,"64,80,145"
965,"40,128,313"
966,"64,145,448"
967,"170,199,426"
968,"4,53,265"
969,"24,38,199"
970,"135,170,199"
971,"40,160,315"
972,"24,60,199"
973,"0,216,271"
974,"10,220,221"
975,"255,265,271"
976,"8,206,208"
977,"40,74,128"
978,"21,170,199"
979,"40,160,315"
980,"265,340,376"
981,"0,8,206"
982,"3,21,34"
983,"21,170,199"
984,"40,131,226"
985,"40,160,315"
986,"21,60,145"
987,"40,131,226"
988,"64,170,199"
989,"3,4,21"
990,"21,34,187"
991,"24,64,145"
992,"169,170,199"
993,"3,21,111"
994,"64,145,448"
995,"21,34,187"
996,"169,170,199"
997,"40,131,226"
998,"41,160,315"
