pid,labels
0,"296,74,526,118,23"
1,"265,490,269,344,218"
2,"0,1,456,271,434"
3,"448,64,80,93"
4,"265,429,271,409,26,27"
5,"24,10,43,23"
6,"3,199,200,170,108,337,21,311"
7,"32,177,180,120,30,31"
8,"128,162,163,135,40,250"
9,"64,199,368,184,90,382"
10,"456,265,429,271,409"
11,"8,0,308,391"
12,"197,40,145,23,24,60"
13,"323,199,170,43,145,181,24"
14,"385,3,5,41,42,21"
15,"0,418,8,265,206"
16,"66,199,200,41,170,42,337,311,30"
17,"448,64,524,80,145"
18,"323,199,10,43,170,24"
19,"1,483,111,21,474,124"
20,"3,21,115,187"
21,"128,195,199,393,170,426,337,53,311,223"
22,"417,135,296,74,141,118"
23,"3,199,200,170,108,337,21,311"
24,"74,84,118,23"
25,"168,17,18,3"
26,"3,199,200,170,108,337,21,85,311"
27,"68,111,21,182,53,472"
28,"64,69,11,44,80,24,62"
29,"0,455,265,271,438,249"
30,"128,40,76,44,468,23"
31,"199,170,171,436,343"
32,"128,129,40,76,23"
33,"418,514,231,8,265,26"
34,"388,293,4,111,435,85"
35,"224,161,40,41,111"
36,"10,43,145,181,24,60"
37,"10,271,145,402,54,444"
38,"3,435,4,238"
39,"199,169,21,343,187"
40,"3,105,21,53,503,187"
41,"419,168,11,17,220,221"
42,"242,10,220,221"
43,"8,265,490,206,208,369"
44,"3,451,203,15,50,147"
45,"64,448,524,80,145"
46,"223,38,199,169,170,426,337,311,63"
47,"40,226,131,142"
48,"448,64,524,80,145"
49,"160,291,334,111,271,441"
50,"0,313,346,501"
51,"388,293,301,111,85,21"
52,"10,44,145,402,54,95"
53,"384,297,265,208,209"
54,"34,131,199,143,241,382"
55,"67,38,11,44,24,91,253"
56,"160,35,36,423,315"
57,"326,105,10,220,221"
58,"38,137,493,145,402"
59,"456,265,271,340,344"
60,"226,131,199,169,170,171"
61,"199,169,170,171,343"
62,"420,296,83,54,220,221"
63,"448,65,64,93"
64,"259,199,169,170,426,311"
65,"128,195,199,21,343,187"
66,"64,296,300,493,145,473"
67,"291,456,425,265,271"
68,"0,8,206,208,369"
69,"265,490,269,376,218"
70,"350,514,8,105,26,318"
71,"128,194,228,5,145,21,124"
72,"418,456,425,265,271"
73,"99,4,70,19,53"
74,"515,8,265,376,285"
75,"326,105,10,220,221"
76,"192,38,40,107,395"
77,"3,19,4,174"
78,"21,3,85,301"
79,"3,187,21,127"
80,"10,493,145,220,221"
81,"160,487,41,426,149,315"
82,"3,435,4,238"
83,"3,145,146,115,21"
84,"3,100,228,5,222"
85,"131,134,199,169,170,171"
86,"34,3,263,21,187"
87,"3,301,21,85,86"
88,"64,80,145,402,54,55"
89,"135,136,494,145,437,184"
90,"80,64,93,448"
91,"199,169,170,171,343"
92,"199,8,170,171,270,405"
93,"128,194,102,40,139,145,21"
94,"154,218,525,111,21,474"
95,"0,357,265,398,208,479"
96,"448,64,80,93"
97,"192,160,38,107,315"
98,"3,325,15,16,53"
99,"383,265,208,340,415"
100,"34,3,21,53,187"
101,"355,271,501,313,346"
102,"448,64,8,206,208,369"
103,"160,41,40,334"
